"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/11/2020","AQS","410170004","3","4.7","ug/m3 LC","26","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/12/2020","AQS","410170004","3","6.1","ug/m3 LC","34","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/13/2020","AQS","410170004","3","4","ug/m3 LC","22","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/14/2020","AQS","410170004","3","2.8","ug/m3 LC","16","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/15/2020","AQS","410170004","3","4.6","ug/m3 LC","26","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/16/2020","AQS","410170004","3","4.8","ug/m3 LC","27","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/17/2020","AQS","410170004","3","5.2","ug/m3 LC","29","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/18/2020","AQS","410170004","3","5.5","ug/m3 LC","31","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/19/2020","AQS","410170004","3","3.7","ug/m3 LC","21","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/20/2020","AQS","410170004","3","3.9","ug/m3 LC","22","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
