Serial,FireYear,IncidentNumber,FiscalYear,FireArea,District,Unit,FireName,StatisticalCategory,PreparedBy,Landmark,Equipment,NumberPersonnel,PreparedDate,ModifiedBy,ModifiedDate,Twn,Rng,Sec,Subdiv,Longitude,Latitude,ProtectionAgency,FireOriginFederalLands,LandClass,FireThreatened,Minimum,Dual,County,LandownerType,OriginalSurcharge,SurchargeInvolved,SenateBill360Lot,SenateBill360Certified,DiscoveredBy,DiscoveredByName,CausedBy,GeneralCause,SpecificCause,CauseComments,LeadInvestigator,Degree_certain,GeneralRestriction,IndustrialRestriction,BurnIndex,WeatherStationID,RegulatedUseZone,Involve_op,Notif_year,Notif_dist,Notif_number,IgnitionTime,DiscoveryTime,ReportTime,InitialAttackTime,ControlTime,WalkInDelay,FemaFire,IntitialAttackBy,InitialAttackType,Flame_length,InitialAttackFireSizeAcres,InitialAttackBehavior,GeneralFuelModels,Topography,Aspect,Slope,Elevation,SizeClass,FinalFireSizeAcres,StateProtectedAcres,ESRI_OID,CauseType,x,y
134341,2023,23-732-439-23,2023,,73,732,Shoestring              ,1,Chelsea Arney           ,,,,5/15/2023 12:00:00 AM,oblankenship,7/21/2023 9:59:00 AM,30S   ,6W    ,34,NENE,-123.387,42.9265,1,1,6,1,0,0,10,30,0,0,0,,6,                        ,13,3,374,Truck into powerpole,Tray Babikoff,,0,0,,353041 Silver Butte     ,DG2,1,,,,5/15/2023 3:00:00 PM,5/15/2023 3:15:00 PM,5/15/2023 3:27:00 PM,5/15/2023 3:30:00 PM,5/15/2023 11:05:00 PM,0,0,1,4,,0.01,1,1,1,1,1,1,1,0.01,0.01,120835,3,539218.520013124,442492.035761148
134344,2023,23-732-442-23,2023,,73,732,Texas Granite           ,1,Chelsea Arney           ,Tiller                        ,,,6/7/2023 12:00:00 AM,oblankenship,7/21/2023 10:18:00 AM,30S   ,2W    ,6 ,NESE,-122.985,42.9928,1,3,1,1,0,0,10,50,0,0,0,,6,                        ,1,1,101, Lightning,Tyler Premo,,0,0,,353041 Silver Butte     ,DG2,1,,,,5/18/2023 2:19:00 PM,5/18/2023 2:20:00 PM,5/18/2023 2:23:00 PM,5/18/2023 2:39:00 PM,5/18/2023 5:52:00 PM,0,0,1,1,,0.01,1,7,1,1,1,1,1,0.01,0.01,120836,2,647567.429461941,463124.093832016
134346,2023,23-711-504-23,2023,,71,711,Eagle Dr                ,1,Shelby Maddox           ,8.39 miles Northwest of Eagle ,,,6/7/2023 12:00:00 AM,Smaddox,6/11/2023 1:51:00 PM,35S   ,2W    ,16,NENW,-122.946,42.5321,1,1,1,1,0,0,15,12,1,1,0,,6,                        ,1,1,101, Lightning,T. Burkhart,,1,1,26 ,EVANS CREEK             ,SW1,1,,,,6/6/2023 7:16:00 PM,6/6/2023 7:16:00 PM,6/6/2023 7:16:00 PM,6/7/2023 8:41:00 AM,6/11/2023 10:33:00 AM,0,0,1,4,,0.25,2,4,1,1,1,1,1,0.25,0.25,120837,2,652995.366469815,294960.66141732
134347,2023,23-711-506-23,2023,,71,711,Holcomb Springs Rd      ,1,Shelby Maddox           ,5.58 miles North of Gold Hill ,,,6/7/2023 12:00:00 AM,Smaddox,6/11/2023 12:49:00 PM,35S   ,3W    ,23,SWNW,-123.03,42.5142,1,2,1,1,0,0,15,50,0,0,2,,4,                        ,1,1,101,Lighting Struck Tree,T. Burkhart,,1,1,26 ,EVANS CREEK             ,SW1,1,,,,6/6/2023 6:30:00 PM,6/6/2023 6:30:00 PM,6/6/2023 7:00:00 PM,6/7/2023 7:00:00 AM,6/10/2023 11:59:00 AM,30,0,1,1,,0.01,1,3,1,1,1,1,1,0.01,0.01,120838,2,630158.324146986,289124.916338578
134348,2023,23-712-766-23,2023,,71,712,Admiral Cir 187         ,1,"Sorweide, Colto         ",8.39 miles Northwest of Grants,,,6/7/2023 12:00:00 AM,cetheridge,6/26/2023 4:13:00 PM,35S   ,6W    ,9 ,SWSW,-123.425,42.5373,1,1,1,1,0,0,17,10,1,0,0,,5,"Kvplent, John           ",9,6,699,subject given citation.,"Sorweide, Colton",,1,1,23 ,MERLIN SEED ORCHARD     ,SW3,1,,,,6/7/2023 12:56:00 PM,6/7/2023 12:57:00 PM,6/7/2023 12:57:00 PM,6/7/2023 1:05:00 PM,6/10/2023 10:10:00 AM,0,0,5,0,,0.01,1,1,1,1,1,1,1,0.01,0.01,120839,3,523993.698818892,301078.157480314
134353,2023,23-974-059-23,2023,,97,974,Wade Gulch              ,1,Ronny Morello           ,Wade Gulch Road               ,,,6/7/2023 12:00:00 AM,JHGOEBEL,6/9/2023 11:01:00 AM,1S    ,44E   ,20,NESW,-117.35,45.4703,1,1,2,2,0,0,32,14,0,0,0,,8,Sam Wade                ,1,1,101,LANDOWNER SAW DOWN STRIKE AND FIRE START,Ronny Morello,,0,9,,351502 Harl Butte       ,NE2,1,,,,6/7/2023 2:30:00 PM,6/7/2023 2:45:00 PM,6/7/2023 2:59:00 PM,6/7/2023 3:00:00 PM,6/9/2023 11:00:00 AM,0,0,1,4,,20,3,1,0,0,0,0,3,49.5,49.5,120840,2,2120292.66043307,1371608.29527558
134354,2023,23-954-078-23,2023,,95,954,FAIRWAY ROAD 328        ,1,Tristan Sheppard        ,15.76 miles West of Maupin    ,,,6/7/2023 12:00:00 AM,ECASTANEDA,7/9/2023 1:32:00 PM,4S    ,11E   ,14,NWSW,-121.398,45.2193,1,1,1,2,1,0,33,10,0,0,2,,3,                        ,6,6,604,5 Unattended Brush piles,Sheppard,,6,9,,WAMIC MILL              ,MH1,1,,,,6/7/2023 12:00:00 PM,6/7/2023 1:25:00 PM,6/7/2023 1:59:00 PM,6/7/2023 2:07:00 PM,6/7/2023 3:30:00 PM,0,0,1,4,,0.25,1,1,0,0,0,0,1,0.25,0.25,120841,3,1080955.97637795,1265856.20472442
134358,2023,23-521-128-23,2023,,52,521,Bird House              ,1,J. Chandler             ,13.38 miles East of Astoria   ,,,6/8/2023 12:00:00 AM,jchandler,7/5/2023 11:59:00 AM,8N    ,7W    ,16,SWSE,-123.553,46.173,1,1,1,1,1,1,4,13,1,0,0,,8,                        ,5,6,615,Burn pile got into blackberries,J. Chandler,,0,0,,TIDEWATER               ,NW1,1,,,,6/4/2023 3:00:00 PM,6/4/2023 4:20:00 PM,6/4/2023 4:30:00 PM,6/4/2023 4:50:00 PM,6/4/2023 6:30:00 PM,0,0,2,4,,0.12,2,8,0,0,0,0,1,0.12,0.12,120843,3,538782.251968503,1626773.85793963
134363,2023,23-971-039-23,2023,,97,971,Pearson                 ,1,Cody Kingsbury          ,10 Miles N. of Elgin          ,,,6/8/2023 12:00:00 AM,CAKingsbury,8/15/2023 3:02:00 PM,4N    ,40E   ,21,NENE,-117.81,45.8174,1,1,1,1,0,0,31,12,0,0,0,,5,USFS                    ,9,4,401,,Cody Rickert,,0,0,,351518 Eden             ,UM1,1,,,,5/1/2023 12:00:00 AM,,6/8/2023 11:11:00 AM,,,,0,2,4,,1,1,8,0,0,0,0,1,0.01,0.01,120844,3,1998205.35137795,1493920.5246063
134365,2023,23-711-511-23,2023,,71,711,Modoc                   ,1,Shelby Maddox           ,3.86 miles West of Eagle Point,,,6/8/2023 12:00:00 AM,taburkhart,6/19/2023 2:36:00 PM,36S   ,2W    ,12,NENE,-122.877,42.4608,1,1,1,1,0,0,15,20,0,0,0,,6,Jason                   ,1,1,101,Lightning,Tyler Womack,,1,1,21 ,EVANS CREEK             ,SW1,1,,,,6/8/2023 6:00:00 PM,6/8/2023 6:05:00 PM,6/8/2023 6:10:00 PM,6/8/2023 6:23:00 PM,6/11/2023 9:45:00 AM,0,0,1,4,,0.01,7,5,1,1,1,1,1,0.01,0.01,120846,2,670837.387795269,268434.394028872
